,"tactile_static_data.left.std.clip(ret/60.0, -1, 1).max()",robotiq_force_sensor.wrench.force.norm.dividedby10,robotiq_force_sensor.wrench.torque.norm.dividedby0.4,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0,baxter_enpoint_pose.twist.linear.norm.dividedby0.4,baxter_enpoint_pose.twist.angular.norm,baxter_enpoint_pose.twist.linear.x,baxter_enpoint_pose.twist.linear.y,baxter_enpoint_pose.twist.linear.z,baxter_enpoint_pose.twist.angular.x,baxter_enpoint_pose.twist.angular.y,baxter_enpoint_pose.twist.angular.z
1526716635.57,0.4037200454233174,0.2691062227334907,0.45972986511267405,-0.17449998855590823,-0.010499995946884095,-0.13370002746582033,0.00893999993801117,0.014919999837875368,0.0059000000357627876,0.040449702847832336,0.032252609939184135,-0.00402563284866316,-0.0007874115418040413,0.0003378893336118397,0.0062375764768335396,0.009482322506510567,-0.006788063962952815
1526716635.67,0.41562759359816154,0.2611138753328734,0.46208854418079914,-0.16349998474121097,-0.013899997472763,-0.141300048828125,0.008959999978542329,0.015000000000000001,0.005960000008344651,0.03466745747233966,0.02726525168385214,-0.002513563239946048,0.004632805229837258,0.00073820248948277,0.0059566506968330825,0.004998803725453955,0.005016156202105593
1526716635.77,0.4276050103719436,0.24004546222839562,0.46009961360725665,-0.10709999084472659,0.002300001382827821,-0.14410003662109377,0.00886000007390976,0.014960000216960909,0.0059600000083446505,0.02677309385142003,0.02013694630605887,-0.0001726751827816349,0.0076086746992451776,0.002037356331315042,0.005814195179283374,-0.00031074098654966466,0.011080014285969872
1526716635.87,0.4347381152575493,0.2234765254385676,0.4636374804294108,-0.08929998397827149,-0.0032999980449675906,-0.15250000000000002,0.00886000007390976,0.015020000338554385,0.006239999979734422,0.027159672689225704,0.020576549668576513,-0.0017106226212344738,0.002872525854661352,-0.001136460537082884,-0.0007846302805377533,0.005201211695582596,0.005480321819146961
1526716635.97,0.43092854892002125,0.1822343028574728,0.45623679961698255,-0.08629999160766604,0.014900002479553285,-0.11250000000000002,0.00830000013113022,0.014820000231266024,0.006620000004768372,0.025058149496684723,0.018204024730245846,-0.002131953564004024,0.001975395712399486,-0.0006442463942060617,-0.002178497902058411,0.005490621852967149,0.001680132047386589
1526716636.07,0.47182106138008306,0.1490130885623325,0.44183030457142486,-0.09029999732971192,0.023700001239776673,-0.07330001831054689,0.007780000120401384,0.014440000057220459,0.006519999951124192,0.030102037503350505,0.019699064786096388,-0.00019984329302565008,0.003407177872586137,0.0014182720139286399,-0.003657222615073646,0.00202269231882749,0.004868221167604011
1526716636.17,0.47375586177285317,0.1363374833597635,0.43911533445032064,-0.08029999732971192,0.01650000333786017,-0.06490005493164062,0.007740000188350678,0.014259999990463257,0.006679999977350235,0.030742143403226493,0.020101977314443593,-0.00045786077476867574,0.002568106646083107,-8.423124972845161e-05,0.0003398018581002452,0.004917806057840795,-0.00029297718861252386
1526716636.27,0.4829233991465848,0.13562113375939724,0.4393910544743441,-0.11149998664855958,-0.010699996948242125,-0.06650009155273437,0.007640000134706498,0.014259999990463257,0.006840000003576279,0.03925802294362285,0.024315415327287822,-0.0027894572960719625,8.724310856502012e-05,-0.003166479278747002,0.0004419564457140736,0.009460717632091845,-0.0033197384977409084
1526716636.37,0.48139626207038566,0.11144798440783599,0.433917227601493,-0.07889999389648439,-0.01489999771118158,-0.06490013122558594,0.007440000176429749,0.014079999923706055,0.0068800000846385954,0.033521347655918646,0.019936096020270865,-0.001856921766857432,0.003620799930916834,-0.0025618116913454676,0.004933085688301721,0.0055678762896736195,-0.0016899364227008426
1526716636.47,0.4685216743951952,0.11945014790102292,0.4291104181117019,-0.08549999237060547,-0.03529999852180475,-0.056900100708007814,0.007480000108480454,0.01386000007390976,0.006800000071525574,0.03686356091845724,0.023454517049669346,-0.0038361296029912973,-6.047700671179949e-05,-0.0038002355397044403,0.0008588607239769488,0.010846285815780793,-0.0017652077090506751
