Allocation,Observation,Inference,train_size,Status,precision,recall,F1score,accuracy
FiniteHMM,Gauss,VB,0.9,Y,0.981,0.981,0.981,0.964
FiniteHMM,Gauss,VB,0.8,Y,0.963,0.963,0.963,0.929
FiniteHMM,Gauss,VB,0.7,Y,0.963,0.963,0.963,0.929
FiniteHMM,Gauss,VB,0.6,Y,0.889,0.889,0.889,0.8
FiniteHMM,Gauss,VB,0.5,Y,0.759,0.759,0.759,0.612
FiniteHMM,Gauss,VB,0.4,Y,0.815,0.815,0.815,0.688
FiniteHMM,Gauss,VB,0.3,Y,0.657,0.657,0.657,0.49
FiniteHMM,Gauss,memoVB,0.9,Y,0.981,0.981,0.981,0.964
FiniteHMM,Gauss,memoVB,0.8,Y,0.954,0.954,0.954,0.912
FiniteHMM,Gauss,memoVB,0.7,Y,0.954,0.954,0.954,0.912
FiniteHMM,Gauss,memoVB,0.6,Y,0.917,0.917,0.917,0.846
FiniteHMM,Gauss,memoVB,0.5,Y,0.889,0.889,0.889,0.8
FiniteHMM,Gauss,memoVB,0.4,Y,0.852,0.852,0.852,0.742
FiniteHMM,Gauss,memoVB,0.3,Y,0.63,0.63,0.63,0.459
FiniteHMM,AutoRegGauss,VB,0.9,Y,0.972,0.972,0.972,0.946
FiniteHMM,AutoRegGauss,VB,0.8,Y,0.954,0.954,0.954,0.912
FiniteHMM,AutoRegGauss,VB,0.7,Y,0.963,0.963,0.963,0.929
FiniteHMM,AutoRegGauss,VB,0.6,Y,0.926,0.926,0.926,0.862
FiniteHMM,AutoRegGauss,VB,0.5,Y,0.935,0.935,0.935,0.878
FiniteHMM,AutoRegGauss,VB,0.4,Y,0.843,0.843,0.843,0.728
FiniteHMM,AutoRegGauss,VB,0.3,Y,0.648,0.648,0.648,0.479
FiniteHMM,AutoRegGauss,memoVB,0.9,Y,0.991,0.991,0.991,0.982
FiniteHMM,AutoRegGauss,memoVB,0.8,Y,0.981,0.981,0.981,0.964
FiniteHMM,AutoRegGauss,memoVB,0.7,Y,0.954,0.954,0.954,0.912
FiniteHMM,AutoRegGauss,memoVB,0.6,Y,0.954,0.954,0.954,0.912
FiniteHMM,AutoRegGauss,memoVB,0.5,Y,0.954,0.954,0.954,0.912
FiniteHMM,AutoRegGauss,memoVB,0.4,Y,0.87,0.87,0.87,0.77
FiniteHMM,AutoRegGauss,memoVB,0.3,Y,0.759,0.759,0.759,0.612
HDPHMM,Gauss,VB,0.9,Y,1.0,1.0,1.0,1.0
HDPHMM,Gauss,VB,0.8,Y,0.954,0.954,0.954,0.912
HDPHMM,Gauss,VB,0.7,Y,0.935,0.935,0.935,0.878
HDPHMM,Gauss,VB,0.6,Y,0.917,0.917,0.917,0.846
HDPHMM,Gauss,VB,0.5,Y,0.907,0.907,0.907,0.831
HDPHMM,Gauss,VB,0.4,Y,0.685,0.685,0.685,0.521
HDPHMM,Gauss,VB,0.3,Y,0.583,0.583,0.583,0.412
HDPHMM,Gauss,memoVB,0.9,Y,0.981,0.981,0.981,0.964
HDPHMM,Gauss,memoVB,0.8,Y,0.954,0.954,0.954,0.912
HDPHMM,Gauss,memoVB,0.7,Y,0.944,0.944,0.944,0.895
HDPHMM,Gauss,memoVB,0.6,Y,0.926,0.926,0.926,0.862
HDPHMM,Gauss,memoVB,0.5,Y,0.731,0.731,0.731,0.577
HDPHMM,Gauss,memoVB,0.4,Y,0.704,0.704,0.704,0.543
HDPHMM,Gauss,memoVB,0.3,Y,0.787,0.787,0.787,0.649
HDPHMM,AutoRegGauss,VB,0.9,Y,0.972,0.972,0.972,0.946
HDPHMM,AutoRegGauss,VB,0.8,Y,0.972,0.972,0.972,0.946
HDPHMM,AutoRegGauss,VB,0.7,Y,0.963,0.963,0.963,0.929
HDPHMM,AutoRegGauss,VB,0.6,Y,0.954,0.954,0.954,0.912
HDPHMM,AutoRegGauss,VB,0.5,Y,0.917,0.917,0.917,0.846
HDPHMM,AutoRegGauss,VB,0.4,Y,0.843,0.843,0.843,0.728
HDPHMM,AutoRegGauss,VB,0.3,Y,0.657,0.657,0.657,0.49
HDPHMM,AutoRegGauss,memoVB,0.9,Y,0.991,0.991,0.991,0.982
HDPHMM,AutoRegGauss,memoVB,0.8,Y,0.972,0.972,0.972,0.946
HDPHMM,AutoRegGauss,memoVB,0.7,Y,0.981,0.981,0.981,0.964
HDPHMM,AutoRegGauss,memoVB,0.6,Y,0.963,0.963,0.963,0.929
HDPHMM,AutoRegGauss,memoVB,0.5,Y,0.944,0.944,0.944,0.895
HDPHMM,AutoRegGauss,memoVB,0.4,Y,0.889,0.889,0.889,0.8
HDPHMM,AutoRegGauss,memoVB,0.3,Y,0.731,0.731,0.731,0.577
